ECG231005,Accra West,Nsawam,Residential,Prepaid,Jan,171.47,205.76,205.76,0,Paid,Active,OK
ECG231005,Accra West,Nsawam,Residential,Prepaid,Feb,103.16,123.79,123.79,0,Paid,Active,OK
ECG231005,Accra West,Nsawam,Residential,Prepaid,Mar,77.68,93.22,93.22,0,Paid,Active,OK
ECG231005,Accra West,Nsawam,Residential,Prepaid,Apr,166.28,199.54,199.54,0,Paid,Active,OK
ECG231005,Accra West,Nsawam,Residential,Prepaid,May,103.46,124.15,124.15,0,Paid,Active,OK
ECG231005,Accra West,Nsawam,Residential,Prepaid,Jun,94.49,113.39,113.39,0,Paid,Active,OK
ECG231006,Accra West,Nsawam,Residential,Postpaid,Jan,127.47,152.96,0,152.96,Unpaid,Active,OK
ECG231006,Accra West,Nsawam,Residential,Postpaid,Feb,158.54,190.25,190.25,0,Paid,Active,OK
ECG231006,Accra West,Nsawam,Residential,Postpaid,Mar,239.09,286.91,286.91,0,Paid,Active,OK
ECG231006,Accra West,Nsawam,Residential,Postpaid,Apr,161.36,193.63,161.89,31.74,Partial,Active,OK
ECG231006,Accra West,Nsawam,Residential,Postpaid,May,177.99,213.59,213.59,0,Paid,Active,OK
ECG231006,Accra West,Nsawam,Residential,Postpaid,Jun,94.7,113.64,113.64,0,Paid,Active,OK
ECG231007,Accra West,Nsawam,Residential,Prepaid,Jan,0,0,0,0,Paid,Inactive,OK
ECG231007,Accra West,Nsawam,Residential,Prepaid,Feb,0,0,0,0,Paid,Inactive,OK
ECG231007,Accra West,Nsawam,Residential,Prepaid,Mar,0,0,0,0,Paid,Inactive,OK
ECG231007,Accra West,Nsawam,Residential,Prepaid,Apr,0,0,0,0,Paid,Inactive,OK
ECG231007,Accra West,Nsawam,Residential,Prepaid,May,0,0,0,0,Paid,Inactive,OK
ECG231007,Accra West,Nsawam,Residential,Prepaid,Jun,0,0,0,0,Paid,Inactive,OK
ECG231008,Accra West,Nsawam,Residential,Postpaid,Jan,68.71,82.45,82.45,0,Paid,Active,OK
ECG231008,Accra West,Nsawam,Residential,Postpaid,Feb,123.12,147.74,0,147.74,Unpaid,Active,OK
ECG231008,Accra West,Nsawam,Residential,Postpaid,Mar,125.36,150.43,150.43,0,Paid,Active,OK
ECG231008,Accra West,Nsawam,Residential,Postpaid,Apr,66.07,79.28,0,79.28,Unpaid,Active,OK
ECG231008,Accra West,Nsawam,Residential,Postpaid,May,111.24,133.49,69.33,64.16,Partial,Active,OK
ECG231008,Accra West,Nsawam,Residential,Postpaid,Jun,139.97,167.96,167.96,0,Paid,Active,OK
ECG231009,Accra West,Nsawam,Residential,Prepaid,Jan,138.02,165.62,165.62,0,Paid,Active,OK
ECG231009,Accra West,Nsawam,Residential,Prepaid,Feb,145.21,174.25,174.25,0,Paid,Active,OK
ECG231009,Accra West,Nsawam,Residential,Prepaid,Mar,134.55,161.46,161.46,0,Paid,Active,OK
ECG231009,Accra West,Nsawam,Residential,Prepaid,Apr,94.65,113.58,113.58,0,Paid,Active,OK
ECG231009,Accra West,Nsawam,Residential,Prepaid,May,94.3,113.16,113.16,0,Paid,Active,OK
ECG231009,Accra West,Nsawam,Residential,Prepaid,Jun,60.05,72.06,72.06,0,Paid,Active,OK
ECG231010,Accra West,Nsawam,Residential,Postpaid,Jan,209.24,251.09,0,251.09,Unpaid,Active,OK
ECG231010,Accra West,Nsawam,Residential,Postpaid,Feb,120.67,144.8,144.8,0,Paid,Active,OK
ECG231010,Accra West,Nsawam,Residential,Postpaid,Mar,108.76,130.51,130.51,0,Paid,Active,OK
ECG231010,Accra West,Nsawam,Residential,Postpaid,Apr,73.56,88.27,0,88.27,Unpaid,Active,OK
ECG231010,Accra West,Nsawam,Residential,Postpaid,May,266.78,320.14,0,320.14,Unpaid,Active,OK
ECG231010,Accra West,Nsawam,Residential,Postpaid,Jun,66.33,79.6,79.6,0,Paid,Active,OK
ECG231011,Accra West,Nsawam,Residential,Prepaid,Jan,98.56,118.27,118.27,0,Paid,Active,OK
ECG231011,Accra West,Nsawam,Residential,Prepaid,Feb,140.79,168.95,168.95,0,Paid,Active,OK
ECG231011,Accra West,Nsawam,Residential,Prepaid,Mar,150.01,180.01,180.01,0,Paid,Active,OK
ECG231011,Accra West,Nsawam,Residential,Prepaid,Apr,167.9,201.48,201.48,0,Paid,Active,OK
ECG231011,Accra West,Nsawam,Residential,Prepaid,May,210.38,252.46,252.46,0,Paid,Active,OK
